,DateStart,League,Name,StandardName,Split,SplitNumber,DateStart__precision
4954,2019-12-08,Serbian Esports League,Serbian Esports League Season 2 Playoffs,,,,1
4955,2019-12-08,Swiss Esports League,Swiss Esports League 2019 Fall Playoffs,,,,1
4956,2019-12-09,DoomFire Valkyria,DoomFire Valkyria Season 1 Playoffs,DoomFire Valkyria Season 1 Playoffs,,,1
4957,2019-12-10,La Lega Online,La Lega Online Season 2 Split 1 Playoffs,La Lega Online Season 2 Split 1 Playoffs,,,1
4958,2019-12-10,Slovenian Esports League,Slovenian Esports League Season 2,,,,1
4959,2019-12-11,Polska Liga Esportowa,Polska Liga Esportowa 2019 Finals,Polska Liga Esportowa 2019 Finals,,,1
4960,2019-12-11,Vietnam Championship Series,VCS 2020 Spring Promotion,VCS 2020 Spring Promotion,Spring,1,1
4961,2019-12-12,Exalty,Exalty Challenge Cup 33,,,,1
4962,2019-12-12,League Championship Denmark,LCD 2019 Winter Playoffs,LCD 2019 Winter Playoffs,,,1
4963,2019-12-13,Dreamcup 2019,DreamHack Sevilla 2019 Offline Qualifier,,,,1
4964,2019-12-14,Dreamcup 2019,DreamHack Sevilla 2019,,,,1
4965,2019-12-14,Hitpoint Weekly,Hitpoint Weekly 2,,,,1
4966,2019-12-14,Macedonian Esports League,Macedonian Esports League Season 2 Qualifier,,,,1
4967,2019-12-14,Orange Gaming Show,Orange Gaming Show 2019,,,,1
4968,2019-12-14,Red Bull Factions,Red Bull Factions 2019 Finals,Red Bull Factions 2019 Finals,,,1
4969,2019-12-14,Tyler1 Championship Series,Tyler1 Championship Series 2019,Tyler1 Championship Series 2019,,,1
4970,2019-12-14,UEG League,Unitymedia Tryouts Cup #1,,,,1
4971,2019-12-15,Challengers Korea,CK 2020 Spring Promotion Qualifiers,CK 2020 Spring Promotion Qualifiers,Spring,,1
4972,2019-12-15,ESL Meisterschaft,ESLM 2019 Winter Playoffs,ESLM 2019 Winter Playoffs,,,1
4973,2019-12-16,Croatian Esports League,Croatian Esports League Season 2,,,,1
4974,2019-12-16,Liga Akademicka,Liga Akademicka Season 5 Playoffs,Liga Akademicka Season 5 Playoffs,,,1
4975,2019-12-16,Macedonian Esports League,Macedonian Esports League Season 2,,,,1
4976,2019-12-17,PG Nationals,PG Nationals 2020 Spring Promotion,PG Nationals 2020 Spring Promotion,Spring,,1
4977,2019-12-18,Challengers Korea,CK 2020 Spring Promotion,CK 2020 Spring Promotion,Spring,1,1
4978,2019-12-18,Glory4Gamers,Glory4Gamers LoL Tournament,,,,1
4979,2019-12-19,AESF e-Masters,AESF e-Masters Chengdu 2020 Kazakhstan Qualifier,,,,1
4980,2019-12-20,,Hải Béo Championship,,,,1
4981,2019-12-21,Bosnian Esports League,Bosnian Esports League Season 2 Playoffs,,,,1
4982,2019-12-21,Demacia Cup,Demacia Cup 2019,Demacia Cup 2019,,,1
4983,2019-12-21,Hitpoint Weekly,Hitpoint Weekly 3,,,,1
4984,2019-12-21,Montenegrin Esports League,Montenegrin Esports League Season 2 Playoffs,,,,1
4985,2019-12-22,Croatian Esports League,Croatian Esports League Season 2 Playoffs,,,,1
4986,2019-12-23,KeSPA,KeSPA Cup 2019,KeSPA Cup 2019,,,1
4987,2019-12-28,Hitpoint Weekly,Hitpoint Weekly 4,,,,1
4988,2019-12-28,Imperial League Arc Cup,Imperial League Arc Cup 20,,,,1
4989,2019-12-28,Slovenian Esports League,Slovenian Esports League Season 2 Playoffs,,,,1
4990,2020-01-01,Dutch College League,DCL Talent League 2020 - Split 1,,,,1
4991,2020-01-04,Female Esports League Elite,Female Esports League Elite Season 3 Vietnam Qualifier,,,,1
4992,2020-01-04,Macedonian Esports League,Macedonian Esports League Season 2 Playoffs,,,,1
4993,2020-01-04,Nordic Championship,Nordic Championship 2020 Spring Qualifier 1,Nordic Championship 2020 Spring Qualifier 1,Spring,,1
4994,2020-01-05,Logitech G Cup,Logitech G Cup 2020 Qualifier #2,,,,1
4995,2020-01-05,Nordic Championship,Nordic Championship 2020 Spring Qualifier 2,Nordic Championship 2020 Spring Qualifier 2,Spring,,1
4996,2020-01-08,ARRRmando Invitational,ARRRmando Invitational,ARRRmando Invitational,,,1
4997,2020-01-10,GameAthlon,GameAthlon 2020 Winter Open Qualifier 1,,,,1
4998,2020-01-10,Greek Legends League,GLL 2020 Spring Open Qualifier,GLL 2020 Spring Open Qualifier,Spring,,1
4999,2020-01-11,A1 Gaming League,A1 Gaming League 2020 Qualifier 1,,,,1
5000,2020-01-11,Esports Balkan League,EBL Season 6 Open Qualifier,EBL Season 6 Open Qualifier,,,1
5001,2020-01-11,Greek Legends League,GLL 2020 Spring Qualifiers,GLL 2020 Spring Qualifiers,Spring,,1
5002,2020-01-11,Nordic Championship,Nordic Championship 2020 Spring Qualifier 3,Nordic Championship 2020 Spring Qualifier 3,Spring,,1
5003,2020-01-11,Škoda,ŠKODA Gaming Day,,,,1
